ID;Age;Sex;Height;Weight;BMI;BMIGroup;CMJ;SJ;Pow_Duncan;PE_CMJ;Pow_Gomez;CMJcm
84;7;1;1,3;24,6;14,56;Normalweight;0,177;0,142;531,5206315;4,351494;285,18;17,7
85;7;1;1,256;25,8;16,35;Normalweight;0,272;0,25;726,5581378;7,011408;841,36;27,2
86;7;1;1,136;20,4;15,81;Normalweight;0,236;0,2;546,8203813;4,816032;460,48;23,6
87;7;1;1,22;26,6;17,87;Normalweight;0,336;0,188;853,434264;8,947176;1215,76;33,6
88;7;1;1,235;26,1;17,11;Normalweight;0,158;0,154;519,3099731;4,120668;233,8;15,8
89;7;1;1,24;24,7;16,06;Normalweight;0,223;0,18;618,5808606;5,516745;537,94;22,3
90;7;1;1,195;22,4;15,69;Normalweight;0,261;0,227;630,5674523;5,856928;664,78;26,1
91;7;1;1,345;31,6;17,47;Normalweight;0,263;0,217;841,0226074;8,29816;992,1;26,3
92;7;1;1,29;28;16,83;Normalweight;0,32;0,249;862,4874734;8,95636;1177,2;32
93;7;1;1,195;20,6;14,43;Normalweight;0,325;0,235;675,4051654;6,69294;949,74;32,5
94;7;1;1,235;26,5;17,37;Normalweight;0,408;0,285;961,6963981;10,80776;1602,56;40,8
95;7;1;1,315;28,3;16,37;Normalweight;0,312;0,278;857,1792397;8,841203;1144,16;31,2
96;7;1;1,33;33;18,66;Overweight;0,166;0,135;650,9525664;5,47437;514,52;16,6
97;7;1;1,4;39;19,9;Overweight;0,261;0,218;998,5469793;10,19733;1235,82;26,1
98;7;1;1,3;31;18,34;Overweight;0,235;0,23;771,3391833;7,28531;819,7;23,5
99;7;1;1,36;36,3;19,63;Overweight;0,266;0,214;951,2698138;9,656526;1170,04;26,6
100;7;1;1,3;31,3;18,52;Overweight;0,168;0,148;627,3428019;5,24901;466,88;16,8
101;7;1;1,37;35,1;18,7;Overweight;0,181;0,154;723,225283;6,340113;668,06;18,1
102;7;1;1,27;33;20,46;Overweight;0,178;0,137;680,3483834;5,86806;579,56;17,8
103;7;1;1,46;38,2;17,92;Overweight;0,201;0,178;830,1616106;7,675526;883,1;20,1
104;7;1;1,26;32,3;20,35;Overweight;0,193;0,186;704,2699161;6,236161;636,78;19,3
105;7;1;1,36;37;20;Overweight;0,194;0,14;790,7400031;7,17948;803,88;19,4
106;7;1;1,237;31,1;20,32;Overweight;0,156;0,132;596,281483;4,855643;394,96;15,6
107;7;1;1,27;32,3;20,03;Overweight;0,209;0,174;740,5791441;6,749085;723,5;20,9
108;7;1;1,195;29,4;20,59;Overweight;0,168;0,154;595,6053641;4,93038;401,52;16,8
109;7;1;1,245;30,7;19,81;Overweight;0,237;0,222;769,5905138;7,280812;820,22;23,7
110;7;1;1,315;33;19,08;Overweight;0,26;0,245;867,0171828;8,59122;1024;26
111;7;1;1,325;33,3;18,97;Overweight;0,377;0,26;1106,105813;12,565089;1668,46;37,7
112;7;1;1,31;36;20,98;Obese;0,154;0,133;665,9679545;5,52636;552,68;15,4
113;7;1;1,33;37,2;21,03;Obese;0,317;0,294;1086,104536;11,806164;1477,42;31,7
114;7;1;1,37;45,9;24,46;Obese;0,158;0,091;829,2288413;7,246692;914,92;15,8
115;7;1;1,24;32,1;20,88;Obese;0,139;0,121;568,83207;4,465752;337,22;13,9
116;7;1;1,35;39,8;21,84;Obese;0,185;0,167;815,9654923;7,377726;851,42;18,5
117;7;1;1,32;37,2;21,35;Obese;0,166;0,144;718,9213556;6,171108;659;16,6
118;7;1;1,18;28,9;20,76;Obese;0,2;0,166;656,677519;5,778266;557,76;20
119;7;1;1,44;50,6;24,4;Obese;0,196;0,177;1031,599862;9,9176;1282,56;19,6
120;7;1;1,35;39,2;21,51;Obese;0,158;0,154;727,555004;6,188896;684,44;15,8
121;7;1;1,4;45,4;23,16;Obese;0,155;0,116;813,0009272;7,04835;881,46;15,5
122;7;1;1,29;46,4;27,88;Obese;0,132;0,12;745,9063164;6,115056;791,2;13,2
123;7;1;1,2;29,9;20,76;Obese;0,172;0,17;614,4073332;5,150873;440,4;17,2
124;7;1;1,25;37,7;24,13;Obese;0,184;0,16;777,5646606;6,952634;773,76;18,4
125;7;1;1,33;36,7;20,75;Obese;0,141;0,13;640,4361735;5,166626;506,3;14,1
126;7;1;1,14;28,3;21,78;Obese;0,232;0,229;708,9877529;6,55994;710,56;23,2
127;7;1;1,41;50,8;25,55;Obese;0,23;0,224;1144,771923;11,667236;1473,72;23
128;8;1;1,32;24;13,77;Underweight;0,209;0,189;611,0680934;5,0148;437,98;20,9
129;8;1;1,38;26;13,65;Underweight;0,191;0,148;617,0006165;4,96938;409,22;19,1
130;8;1;1,2;20,3;14,1;Underweight;0,219;0,197;548,3069384;4,449557;364,9;21,9
131;8;1;1,33;26;14,7;Normalweight;0,189;0,172;613,0307833;4,9192;398,38;18,9
132;8;1;1,284;26,3;15,95;Normalweight;0,229;0,197;698,0321332;6,012443;625,5;22,9
133;8;1;1,325;29,1;16,58;Normalweight;0,298;0,228;897,9978039;8,664234;1095,8;29,8
134;8;1;1,307;26,5;15,51;Normalweight;0,263;0,227;767,166818;6,9589;816,66;26,3
135;8;1;1,309;25,6;14,94;Normalweight;0,25;0,229;723,0468887;6,406912;715,24;25
136;8;1;1,319;28,6;16,44;Normalweight;0,261;0,225;814,995642;7,478042;878,06;26,1
137;8;1;1,259;27,1;17,1;Normalweight;0,215;0,174;688,3146479;5,828126;577,14;21,5
138;8;1;1,369;28,7;15,31;Normalweight;0,229;0,139;750,4403759;6,561107;708,06;22,9
139;8;1;1,214;25,2;17,1;Normalweight;0,173;0,157;564,6886966;4,364388;284,14;17,3
140;8;1;1,381;31,2;16,36;Normalweight;0,231;0,195;808,9987546;7,199088;804,9;23,1
141;8;1;1,282;25,8;15,7;Normalweight;0,229;0,197;687,0128119;5,898138;608,3;22,9
142;8;1;1,368;32,6;17,42;Normalweight;0,223;0,193;821,7883811;7,28121;809,7;22,3
143;8;1;1,21;25,7;17,55;Normalweight;0,27;0,237;761,2537603;6,939;827,08;27
144;8;1;1,29;28,8;17,31;Normalweight;0,22;0,186;734,94248;6,342624;662,72;22
145;8;1;1,32;25,7;14,75;Normalweight;0,274;0,206;768,5320982;7,043599;848,76;27,4
146;8;1;1,296;29;17,27;Normalweight;0,252;0,131;806,3113588;7,32221;843,04;25,2
147;8;1;1,21;22,4;15,3;Normalweight;0,309;0,254;739,6877753;6,91488;924,94;30,9
148;8;1;1,4;34,4;17,55;Normalweight;0,266;0,224;960,2846227;9,151088;1104,68;26,6
149;8;1;1,275;25,3;15,56;Normalweight;0,19;0,182;601,2488255;4,811048;379,72;19
150;8;1;1,24;25,6;16,65;Normalweight;0,204;0,185;634,7386093;5,220352;465,92;20,4
151;8;1;1,29;27,9;16,77;Normalweight;0,304;0,208;878,3735378;8,47602;1087,04;30,4
152;8;1;1,27;23,5;14,57;Normalweight;0,2;0,142;583,8953235;4,69859;372;20
153;8;1;1,39;32,3;16,72;Normalweight;0,223;0,217;815,5141431;7,214205;799,38;22,3
154;8;1;1,28;25,3;15,44;Normalweight;0,2;0,184;620,7355967;5,058482;433,92;20
155;8;1;1,39;32,3;16,72;Normalweight;0,223;0,192;815,5141431;7,214205;799,38;22,3
156;8;1;1,28;27;16,48;Normalweight;0,312;0,205;870,1480507;8,43507;1099,44;31,2
157;8;1;1,2;22,2;15,42;Normalweight;0,181;0,156;522,1466769;4,009986;224,3;18,1
158;8;1;1,27;30;18,6;Overweight;0,214;0,184;746,5791226;6,4212;671,48;21,4
159;8;1;1,37;37;19,71;Overweight;0,236;0,179;945,480151;8,73496;1031,52;23,6
160;8;1;1,38;37;19,43;Overweight;0,199;0,17;847,9845019;7,36115;830,98;19,9
161;8;1;1,32;36;20,66;Overweight;0,213;0,174;865,7344626;7,66836;872,46;21,3
162;8;1;1,31;33,8;19,7;Overweight;0,178;0,137;732,4991879;6,010316;607,08;17,8
163;8;1;1,349;37,8;20,77;Overweight;0,202;0,168;871,3292603;7,632576;874,76;20,2
164;8;1;1,337;34,2;19,13;Overweight;0,255;0,209;929,6324542;8,711424;1038,18;25,5
165;8;1;1,328;34,2;19,39;Overweight;0,211;0,192;824,6556499;7,215516;799,7;21,1
166;8;1;1,255;30,7;19,49;Overweight;0,179;0,158;678,6239629;5,487932;505,86;17,9
167;8;1;1,278;35,1;21,49;Overweight;0,207;0,177;832,2826788;7,263243;808,98;20,7
168;8;1;1,277;30,1;18,46;Overweight;0,292;0,218;911,6059204;8,781073;1097,68;29,2
169;8;1;1,282;30,5;18,56;Overweight;0,292;0,218;921,6373765;8,897765;1111,44;29,2
170;8;1;1,292;35;20,97;Overweight;0,206;0,177;827,7366999;7,2072;800,12;20,6
171;8;1;1,427;40,4;19,84;Overweight;0,255;0,209;1067,317884;10,290688;1251,46;25,5
172;8;1;1,37;36;19,18;Overweight;0,26;0,246;983,5723774;9,37224;1127,2;26
173;8;1;1,34;34,6;19,27;Overweight;0,23;0,216;878,8281096;7,946582;916,44;23
174;8;1;1,382;37,8;19,79;Overweight;0,224;0,173;931,834475;8,48232;994;22,4
175;8;1;1,31;33,7;19,64;Overweight;0,193;0,186;769,9585325;6,506459;684,94;19,3
176;8;1;1,33;37;20,92;Overweight;0,256;0,196;995,072442;9,46608;1139,92;25,6
177;8;1;1,33;34,5;19,5;Overweight;0,193;0,186;785,0804778;6,660915;712,46;19,3
178;8;1;1,36;45;24,33;Obese;0,169;0,121;897,7563971;7,58745;943,58;16,9
179;8;1;1,33;40;22,61;Obese;0,176;0,148;836,6398465;7,0384;809,52;17,6
180;8;1;1,49;53;23,87;Obese;0,152;0,142;961,6669404;8,04434;1126,64;15,2
181;8;1;1,36;45;24,33;Obese;0,203;0,179;1009,99522;9,1314;1127,86;20,3
182;8;1;1,46;51,6;24,21;Obese;0,205;0,198;1138,418082;10,573872;1365,74;20,5
183;8;1;1,42;46,4;23,01;Obese;0,239;0,217;1150,592619;11,104448;1371,14;23,9
184;8;1;1,32;45,1;25,88;Obese;0,178;0,16;930,3525584;8,019682;995,8;17,8
185;8;1;1,358;42,8;23,21;Obese;0,172;0,138;873,0593383;7,373156;884,16;17,2
186;8;1;1,46;71,1;33,36;Obese;0,184;0,138;1388,677299;13,112262;1922,72;18,4
187;8;1;1,425;45,5;22,41;Obese;0,149;0,137;838,2517509;6,789055;852,38;14,9
188;8;1;1,4;43,5;22,19;Obese;0,256;0,211;1137,949695;11,12904;1363,52;25,6
189;8;1;1,29;42,7;25,66;Obese;0,193;0,165;936,8862317;8,244089;994,54;19,3
190;9;1;1,46;29,8;13,98;Underweight;0,325;0,237;1021,874446;9,68202;1266,22;32,5
191;9;1;1,44;29,7;14,32;Underweight;0,288;0,224;944,1303985;8,558055;1062,24;28,8
192;9;1;1,36;28;15,14;Normalweight;0,285;0,256;892,0451604;7,9688;987,5;28,5
193;9;1;1,31;32;18,65;Normalweight;0,25;0,222;918,2411778;8,00864;935,4;25
194;9;1;1,415;33;16,48;Normalweight;0,291;0,265;1035,70712;9,58749;1192,02;29,1
195;9;1;1,39;33;17,08;Normalweight;0,266;0,233;979,248655;8,77866;1056,52;26,6
196;9;1;1,3;25;14,79;Normalweight;0,224;0,2;698,139549;5,61;553,68;22,4
197;9;1;1,52;36;15,58;Normalweight;0,297;0,251;1127,742289;10,67508;1327,74;29,7
198;9;1;1,47;37,5;17,35;Normalweight;0,287;0,271;1142,472481;10,761;1325,14;28,7
199;9;1;1,478;36,8;16,85;Normalweight;0,247;0,214;1022,345782;9,088128;1084,26;24,7
200;9;1;1,336;33,3;18,66;Normalweight;0,231;0,219;901,2636726;7,683642;877,14;23,1
201;9;1;1,321;27,6;15,82;Normalweight;0,272;0,233;855,9631499;7,500576;903,28;27,2
202;9;1;1,489;38,7;17,46;Normalweight;0,357;0,28;1347,942121;13,824027;1745,82;35,7
203;9;1;1,397;31,2;15,99;Normalweight;0,301;0,223;1011,955021;9,402744;1184,3;30,1
204;9;1;1,465;40,7;18,96;Normalweight;0,315;0,285;1297,126242;12,816023;1586,98;31,5
205;9;1;1,336;27,8;15,58;Normalweight;0,266;0,252;849,4895943;7,395356;877,64;26,6
206;9;1;1,414;36,9;18,46;Normalweight;0,301;0,257;1162,979097;11,120553;1380,38;30,1
207;9;1;1,38;35,3;18,54;Normalweight;0,245;0,206;982,098116;8,640381;1021,82;24,5
208;9;1;1,42;31,4;15,57;Normalweight;0,224;0,216;843,3437917;7,04616;773,84;22,4
209;9;1;1,4;29,3;14,95;Normalweight;0,248;0,227;848,7324033;7,268158;831,68;24,8
210;9;1;1,47;35,6;16,47;Normalweight;0,282;0,276;1082,791641;10,047744;1232,68;28,2
211;9;1;1,4;30;15,31;Normalweight;0,257;0,248;885,1307585;7,7088;904,54;25,7
212;9;1;1,43;34,7;16,97;Normalweight;0,223;0,219;913,4560211;7,750245;881,94;22,3
213;9;1;1,29;25,2;15,14;Normalweight;0,373;0,32;971,3142747;9,406152;1368,14;37,3
214;9;1;1,47;35,1;16,24;Normalweight;0,271;0,245;1041,884351;9,49806;1155,86;27,1
215;9;1;1,39;32,2;16,67;Normalweight;0,275;0,213;980,5245394;8,862406;1077,78;27,5
216;9;1;1,398;33;16,88;Normalweight;0,292;0,275;1038,425801;9,62709;1197,44;29,2
217;9;1;1,415;37,3;18,63;Normalweight;0,248;0,205;1036,774119;9,252638;1106,88;24,8
218;9;1;1,361;30,5;16,47;Normalweight;0,285;0,236;957,5851449;8,6803;1073,5;28,5
219;9;1;1,26;23,9;15,05;Normalweight;0,315;0,228;834,2963435;7,525871;1009,06;31,5
220;9;1;1,355;26,6;14,49;Normalweight;0,289;0,251;863,9370674;7,696444;961,02;28,9
221;9;1;1,3;29,1;17,22;Normalweight;0,295;0,264;942,9159591;8,593812;1079,54;29,5
222;9;1;1,377;30,7;16,19;Normalweight;0,288;0,229;970,408513;8,846205;1096,64;28,8
223;9;1;1,42;29,5;14,63;Normalweight;0,304;0,217;970,9742493;8,9621;1142,08;30,4
224;9;1;1,37;30,5;16,25;Normalweight;0,198;0,157;760,1639357;6,03778;601,96;19,8
225;9;1;1,36;29,6;16;Normalweight;0,285;0,175;934,1006233;8,42416;1042,54;28,5
226;9;1;1,32;30,6;17,56;Normalweight;0,244;0,211;869,8985652;7,456302;854,72;24,4
227;9;1;1,5;40,4;17,96;Normalweight;0,269;0,261;1167,545244;10,88578;1327,34;26,9
228;9;1;1,35;31,4;17,23;Normalweight;0,274;0,244;957,7100213;8,605798;1044,84;27,4
229;9;1;1,465;39,5;18,4;Normalweight;0,293;0,196;1208,455916;11,57034;1426,46;29,3
230;9;1;1,4;43;21,94;Overweight;0,221;0,195;1084,714691;9,51461;1156,62;22,1
231;9;1;1,48;49;22,37;Overweight;0,168;0,161;1013,386275;8,2173;1075,76;16,8
232;9;1;1,38;37;19,43;Overweight;0,249;0,235;1032,785109;9,21929;1101,98;24,9
233;9;1;1,38;39;20,48;Overweight;0,261;0,205;1112,429011;10,19733;1235,82;26,1
234;9;1;1,414;39,7;19,86;Overweight;0,221;0,169;1015,237153;8,784419;1043,1;22,1
235;9;1;1,39;40,8;21,12;Overweight;0,248;0,228;1116,798446;10,120848;1227,28;24,8
236;9;1;1,455;44,1;20,83;Overweight;0,224;0,221;1117,608161;9,89604;1210,72;22,4
237;9;1;1,306;33,2;19,46;Overweight;0,169;0,133;736,4117476;5,597852;537,66;16,9
238;9;1;1,383;41,5;21,7;Overweight;0,228;0,207;1072,19634;9,44374;1142,96;22,8
239;9;1;1,437;43,3;20,97;Overweight;0,23;0,178;1118,167357;9,959;1215,72;23
240;9;1;1,345;37,5;20,73;Overweight;0,223;0,195;974,1513331;8,375625;978,26;22,3
241;9;1;1,43;39,5;19,32;Overweight;0,259;0,212;1118,04928;10,238795;1242,18;25,9
242;9;1;1,39;41,7;21,58;Overweight;0,268;0,222;1195,349701;11,18811;1366,64;26,8
243;9;1;1,53;45;19,22;Overweight;0,184;0,175;1003,151468;8,2989;1024,88;18,4
244;9;1;1,41;40,1;20,17;Overweight;0,174;0,136;878,9618137;6,981811;802,12;17,4
245;9;1;1,405;38,1;19,3;Overweight;0,233;0,185;1013,609;8,872347;1053,1;23,3
246;9;1;1,322;38,9;22,26;Overweight;0,153;0,144;788,3132558;5,938085;647,02;15,3
247;9;1;1,38;40,6;21,32;Overweight;0,254;0,205;1128,021391;10,296566;1252,92;25,4
248;9;1;1,38;41,9;22;Overweight;0,22;0,214;1058,484019;9,227637;1113,36;22
249;9;1;1,44;44,7;21,56;Overweight;0,297;0,236;1349,3979;13,254891;1627,02;29,7
250;9;1;1,4;39,9;20,36;Overweight;0,225;0,207;1031,682165;8,995455;1071,66;22,5
251;9;1;1,32;40;22,96;Obese;0,276;0,265;1176,834446;11,0556;1351,52;27,6
252;9;1;1,346;49;27,05;Obese;0,197;0,184;1122,598524;9,65202;1232,94;19,7
253;9;1;1,394;46,7;24,03;Obese;0,22;0,173;1158,064035;10,284741;1278,48;22
254;9;1;1,48;58,6;26,75;Obese;0,276;0,178;1615,08269;16,196454;1991,36;27,6
255;9;1;1,43;56,6;27,68;Obese;0,239;0,23;1431,907294;13,545512;1722,02;23,9
256;9;1;1,39;44,1;22,82;Obese;0,184;0,151;986,4905507;8,132922;993,92;18,4
257;9;1;1,2;35,4;24,58;Obese;0,214;0,185;903,8948817;7,577016;857,24;21,4
258;9;1;1,474;57,9;26,65;Obese;0,206;0,182;1326,08766;11,922768;1587,88;20,6
259;9;1;1,375;43,6;23,06;Obese;0,182;0,147;967,6114409;7,916888;965,88;18,2
260;9;1;1,47;53;24,53;Obese;0,195;0,175;1190,459092;10,33606;1359,7;19,5
261;10;1;1,41;28;14,08;Underweight;0,269;0,257;909,3466626;7,5446;900,78;26,9
262;10;1;1,28;24;14,65;Normalweight;0,248;0,211;759,2495572;5,95344;649,36;24,8
263;10;1;1,47;42;19,44;Normalweight;0,223;0,181;1129,483971;9,3807;1133,06;22,3
264;10;1;1,415;35,2;17,58;Normalweight;0,331;0,279;1253,562568;11,659648;1484,5;33,1
265;10;1;1,308;30,4;17,77;Normalweight;0,338;0,322;1123,699578;10,264256;1357,32;33,8
266;10;1;1,3;25,8;15,27;Normalweight;0,266;0,243;842,8097787;6,863316;808,84;26,6
267;10;1;1,4;31,2;15,92;Normalweight;0,3;0,234;1065,012287;9,36;1178,88;30
268;10;1;1,42;38,1;18,9;Normalweight;0,178;0,165;901,2096053;6,774942;755;17,8
269;10;1;1,4;38,5;19,64;Normalweight;0,356;0,316;1413,302496;13,701765;1733,52;35,6
270;10;1;1,466;37,7;17,54;Normalweight;0,259;0,23;1135,326658;9,772217;1180,26;25,9
271;10;1;1,503;34,8;15,4;Normalweight;0,231;0,194;986,6581143;8,029752;928,74;23,1
272;10;1;1,44;33;15,91;Normalweight;0,414;0,352;1368,310011;13,64583;1858,68;41,4
273;10;1;1,41;29,4;14,79;Normalweight;0,331;0,266;1079,747194;9,738456;1284,98;33,1
274;10;1;1,44;35,7;17,22;Normalweight;0,279;0,232;1136,423552;9,950304;1219,86;27,9
275;10;1;1,356;28,6;15,55;Normalweight;0,269;0,234;925,471205;7,70627;921,42;26,9
276;10;1;1,47;34,8;16,1;Normalweight;0,276;0,258;1106,697004;9,618372;1172,64;27,6
277;10;1;1,306;28,1;16,47;Normalweight;0,401;0,247;1174,061661;11,26248;1619,66;40,1
278;10;1;1,442;39,5;19;Normalweight;0,311;0,248;1325,491307;12,291215;1524,02;31,1
279;10;1;1,393;32,9;16,95;Normalweight;0,261;0,229;1019,734349;8,602363;1025,98;26,1
280;10;1;1,41;34,6;17,4;Normalweight;0,391;0,292;1373,425682;13,53033;1789,06;39,1
